[2026-02-09 08:19:46,165]15 main.py INFO - Initiate the data ingestion
[2026-02-09 08:19:47,310]65 data_ingestion.py INFO - Performed train test split on the dataframe
[2026-02-09 08:19:47,310]67 data_ingestion.py INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-02-09 08:19:47,310]75 data_ingestion.py INFO - Exporting train and test file path.
[2026-02-09 08:19:47,331]84 data_ingestion.py INFO - Exported train and test file path.
[2026-02-09 08:19:47,332]17 main.py INFO - Data Initiation Completed
[2026-02-09 08:19:47,332]21 main.py INFO - Initiate the data validation
[2026-02-09 08:19:47,341]32 data_validation.py INFO - Required number of columns:2
[2026-02-09 08:19:47,341]33 data_validation.py INFO - Data frame has columns:31
[2026-02-09 08:19:47,341]32 data_validation.py INFO - Required number of columns:2
[2026-02-09 08:19:47,341]33 data_validation.py INFO - Data frame has columns:31
[2026-02-09 08:19:47,404]23 main.py INFO - Data Validation Completed
